"ORIGIN_AIRPORT","no_flights","AIRPORT","CITY","STATE","COUNTRY","LATITUDE","LONGITUDE"
"ABE",2227,"Lehigh Valley International Airport","Allentown","PA","USA",40.65236,-75.4404
"ABI",2231,"Abilene Regional Airport","Abilene","TX","USA",32.41132,-99.6819
"ABQ",18918,"Albuquerque International Sunport","Albuquerque","NM","USA",35.04022,-106.60919
"ABR",663,"Aberdeen Regional Airport","Aberdeen","SD","USA",45.44906,-98.42183
"ABY",866,"Southwest Georgia Regional Airport","Albany","GA","USA",31.53552,-84.19447
"ACK",485,"Nantucket Memorial Airport","Nantucket","MA","USA",41.25305,-70.06018
"ACT",1538,"Waco Regional Airport","Waco","TX","USA",31.61129,-97.23052
"ACV",1268,"Arcata Airport","Arcata/Eureka","CA","USA",40.97812,-124.10862
"ACY",3527,"Atlantic City International Airport","Atlantic City","NJ","USA",39.45758,-74.57717
"ADK",88,"Adak Airport","Adak","AK","USA",51.87796,-176.64603
"ADQ",437,"Kodiak Airport","Kodiak","AK","USA",57.74997,-152.49386
"AEX",3054,"Alexandria International Airport","Alexandria","LA","USA",31.32737,-92.54856
"AGS",2345,"Augusta Regional Airport (Bush Field)","Augusta","GA","USA",33.36996,-81.9645
"AKN",63,"King Salmon Airport","King Salmon","AK","USA",58.6768,-156.64922
"ALB",7322,"Albany International Airport","Albany","NY","USA",42.74812,-73.80298
"ALO",581,"Waterloo Regional Airport","Waterloo","IA","USA",42.55708,-92.40034
"AMA",4074,"Rick Husband Amarillo International Airport","Amarillo","TX","USA",35.21937,-101.70593
"ANC",15818,"Ted Stevens Anchorage International Airport","Anchorage","AK","USA",61.17432,-149.99619
"APN",546,"Alpena County Regional Airport","Alpena","MI","USA",45.07807,-83.56029
"ASE",3263,"Aspen-Pitkin County Airport","Aspen","CO","USA",39.22316,-106.86885
"ATL",343506,"Hartsfield-Jackson Atlanta International Airport","Atlanta","GA","USA",33.64044,-84.42694
"ATW",2759,"Appleton International Airport","Appleton","WI","USA",44.25741,-88.51948
"AUS",41392,"Austin-Bergstrom International Airport","Austin","TX","USA",30.19453,-97.66987
"AVL",2673,"Asheville Regional Airport","Asheville","NC","USA",35.43619,-82.54181
"AVP",1326,"Wilkes-Barre/Scranton International Airport","Wilkes-Barre/Scranton","PA","USA",41.33815,-75.72427
"AZO",1743,"Kalamazoo/Battle Creek International Airport","Kalamazoo","MI","USA",42.23488,-85.55206
"BDL",18375,"Bradley International Airport","Windsor Locks","CT","USA",41.93887,-72.68323
"BET",880,"Bethel Airport","Bethel","AK","USA",60.77978,-161.838
"BFL",2587,"Meadows Field","Bakersfield","CA","USA",35.4336,-119.05677
"BGM",259,"Greater Binghamton Airport","Binghamton","NY","USA",42.20848,-75.97961
